Law ID,State,State Postal Abbreviation,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Year,Effective Date Month,Effective Date Day,Statutory Citation,Content,Supersession Date,Supersession Date Year,Supersession Date Month,Supersession Date Day,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code
GA1021,Georgia,GA,13,8,open carry,license required,handgun,Permissive,Modify,1976-07-01,,1976,7,1,Ga. Code Ann. § 16-11-126(h)(1),No person shall carry a weapon without a valid weapons carry license unless he or she meets one of the exceptions to having such license as provided in subsections (a) through (g) of this Code section.,,,,,1,,,See Ga. Code Ann. § 26-2904 (1976) for original version.,,
GA1022,Georgia,GA,13,8,open carry,prohibited,handgun,Restrictive,Implement,1837-01-01,"Not sure about day + month, so using January 1.",1837,1,1,Ga. Penal Laws § 866 (1851),"That from and after the passage of this Act, it shall not lawful for any merchant, or vendor of wares or merchandize in this State, or any other person or persons whatsoever, to sell, or offer to sell, or to keep, or to have about their person or elsewhere...pistols.",1976-07-01,1976,7,1,,,,,,"C, D"
GA1023,Georgia,GA,13,11,registration,,handgun,,,,,,,,,No law requiring registration of handguns,,,,,1,,,,,
GA1024,Georgia,GA,13,1,background checks,state version of Brady requirements,handgun,Restrictive,Implement,1996-01-01,,1996,1,1,Ga. Code Ann. § 16-11-170,"

 (a) It is the intention of this part to establish state regulations which are consistent with the policy and terms of the federal Brady Handgun Violence Protection Act by providing a state background check law.
(b) This part shall in all respects be construed and administered in conformity with the provisions of the federal Brady Handgun Violence Protection Act. Without limiting the generality of the foregoing, it is specifically intended that this part shall constitute a state law requiring verification by a state official that information available does not indicate that possession of a handgun by a proposed transferee would be in violation of law, as authorized under 18 U.S.C. Section 922(s)(1)(D).
",2005-07-01,2005,7,1,,,,,,
GA1025,Georgia,GA,13,1,background checks,state version of Brady requirements,handgun,Permissive,Repeal,2005-07-01,,2005,7,1,Ga. Code Ann. § 16-11-170,"Repealed by Ga. L. 2005, p. 613, § 1, effective July 1, 2005.",,,,,,,,,,
GA1026,Georgia,GA,13,13,waiting period,,handgun,,,,,,,,,No law imposing waiting period for purchase of handguns,,,,,1,,,,,G
GA1027,Georgia,GA,13,1,background checks,sales from dealer,long gun,,,,,,,,,No law requiring background checks for sales from dealers of long guns,,,,,1,,,,,
GA1028,Georgia,GA,13,4,child access laws,negligent storage,handgun and long gun,,,,,,,,,No law imposing child access laws - negligent storage (CAP),,,,,1,,,,,
GA1029,Georgia,GA,13,11,registration,,long gun,,,,,,,,,No law requiring registration of long guns,,,,,1,,,,,
GA1030,Georgia,GA,13,13,waiting period,,long gun,,,,,,,,,No law imposing waiting period for purchase of long guns,,,,,1,,,,,
GA1031,Georgia,GA,13,1,background checks,private sales,long gun,,,,,,,,,No law requiring background checks for private sales of long guns,,,,,1,,,,,
GA1032,Georgia,GA,13,12,safety training required,,handgun,,,,,,,,,No law requiring safety training for handguns,,,,,1,,,(5) What constitutes safe firearm storage.,,
GA1033,Georgia,GA,13,10,prohibited possessor,erpo,handgun and long gun,,,,,,,,,No law prohibiting possession of firearms by individuals subject to ERPO,,,,,1,,,,,
GA1034,Georgia,GA,13,10,prohibited possessor,dvro,handgun and long gun,,,,,,,,,No law prohibiting individuals subject to DVRO from possessing firearms,,,,,1,,,,,
GA1035,Georgia,GA,13,10,prohibited possessor,mental health,handgun and long gun,,,,,,,,,No law prohibiting individuals with mental health issues from possessing firearms,,,,,,,,,,
GA1036,Georgia,GA,13,12,safety training required,,long gun,,,,,,,,,No law requiring safety training for long guns,,,,,1,,,,,
GA1037,Georgia,GA,13,7,minimum age,youth possession,long gun,,,,,,,,,No law imposing minimum age for youth possession of long guns,,,,,1,,,,,
GA1038,Georgia,GA,13,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement,1994-02-28,,1994,2,28,18 U.S.C.A. § 922(t),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 
(A) after the most recent proposal of such transfer by the transferee— 
(i) the transferor has— 
(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 
(II) verified the identity of the transferee by examining the identification document presented; 
(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or 
(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",,,,,,,,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),,
GA1039,Georgia,GA,13,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement,1998-11-30,,1998,11,30,18 U.S.C.A. § 922(t)(1),"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—
(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;
(B) (i) the system provides the licensee with a unique identification number; or
(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and
(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",,,,,,,,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,,
GA1040,Georgia,GA,13,8,open carry,not restricted,long gun,,,,,,,,,No law restricting open carry for long guns,,,,,1,,,,,
GA1041,Georgia,GA,13,9,permit to purchase,,handgun,,,,,,,,,No law requiring permit for the purchase of a handgun,,,,,1,,,,,
GA1042,Georgia,GA,13,9,permit to purchase,,long gun,,,,,,,,,No law requiring permit for the purchase of a long gun,,,,,1,,,,,
GA1043,Georgia,GA,13,6,firearm sales restrictions,,handgun and long gun,,,,,,,,,No law imposing any firearm ban,,,,,1,,,,,
GA1044,Georgia,GA,13,13,waiting period,federal,handgun,Restrictive,Implement,1994-02-28,,1994,2,28,18 U.S.C.A. § 922(s),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless—“(A) after the most recent proposal of such transfer by the transferee—(ii)(I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or
“(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",1996-06-01,1996,6,1,,,5,"In general, the waiting period applies only in states without an acceptable alternate system of conducting background checks on handgun purchasers.",,
